Degree,Field,SubField,COLLEGE,DURATION,COLLEGE FEE,NIRF AND OTHER RANK(2022),MIN MARKS FOR ELIGIBILITY,QUALIFIED DEGREE,Deadline ,ENTRANCE NAME AND DURATION,EXAM DETAILS,TEST DATE,APPLICATION PROCESS,APPLICATION FEE,SELECTION PROCESS,INTAKE,LINK,Scholarships/Fellowships,Unnamed: 19
Masters,Physics,Physics,St Joseph College Bangalore,2 Years,INR 179600,"Overall(top college) #150, Science(INDIA TODAY) #15, Science(OUTLOOK) #14, Science(THE WEEK) #14", at least 50% marks in aggregate,B.Sc. degree in a relevant specialization,,,,,"Go to official university website , register, fill personal info , submit documents, pay application fee", Rs. 600,Merit-Based,,https://www.sjc.ac.in/,,
Masters,Mathematics,Mathematics,St Joseph College Bangalore,2 YEARS,₹130000,", Science(INDIA TODAY) #15, Science(OUTLOOK) #14, Science(THE WEEK) #14",,"40% marks in the aggregate of all subjects, 50% marks in Mathematics (cognate subject) at the degree level",,,,,,,"Merit , or, Interview",,https://www.sjc.ac.in/,,
Masters,Statistics,Statistics,St Joseph College Bangalore,2 YEARS,₹160000,", Science(INDIA TODAY) #15, Science(OUTLOOK) #14, Science(THE WEEK) #14",,"40% marks in the aggregate of all subjects, 50% marks in Mathematics (cognate subject) at the degree level",,,,,,,"Merit , or, Interview",,https://www.sjc.ac.in/,,
Masters,Physics,Physics,"St Stephens College, New Delhi",2 Years,,"Science(INDIA TODAY) #3, COLLEGE #4, Science(OUTLOOK) #4, Science(THE WEEK) #1","minimum 50% marks, 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,https://www.ststephens.edu/prospectus/PG-2022-23-Prospectus.pdf,"apply separately on the College’s PG portal and from DU portal, attend an interview in College for the discipline they have applied for",,"marks scored in Graduation(for DU graduates), ENTRANCE, Interview",,"https://www.ststephens.edu/prospectus/PG-2022-23-Prospectus.pdf, https://www.ststephens.edu/, https://cuet.nta.nic.in/",,
Masters,Chemistry,Chemistry,"St Stephens College, New Delhi",2 Years,,"Science(INDIA TODAY) #3, COLLEGE #11, Science(OUTLOOK) #4, Science(THE WEEK) #1","minimum 50% marks, 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,"apply separately on the College’s PG portal and from DU portal, attend an interview in College for the discipline they have applied for",,"MERIT BASED SHORTLIST, INTERVIEW, marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,"https://www.ststephens.edu/prospectus/PG-2022-23-Prospectus.pdf, https://www.ststephens.edu/, https://cuet.nta.nic.in/",,
Masters,Life Science,Microbiology,"St Josephs College [SJC], Bangalore, Bangalore, Karnataka",2 years,INR 160000,"Overall(top college) #150, Science(INDIA TODAY) #15, Science(OUTLOOK) #14, Science(THE WEEK) #14",minimum of 50% marks in aggregate,Bachelor’s Degree in appropriate branch,,,,,"Go to official university website , register, fill personal info , submit documents, pay application fee",,Merit Basis,,https://www.sjc.ac.in/,,
Masters,Chemistry,Chemistry,St Josephs College,2 Years,70000,College #150,,,,,,,"Go to official university website ,register,fill personal info , submit documents, pay application fee",,Merit Basis,,https://www.sjc.ac.in/,,
Masters,Physics,Physics,"Sri Venkateswara College, Delhi",2 Years,INR 26382,"college#14, Science(INDIA TODAY) #10, Science(OUTLOOK) #9, Science(THE WEEK) #10","minimum 50% marks, 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,"https://www.svc.ac.in/, https://cuet.nta.nic.in/",,
Masters,Chemistry,Chemistry,"Sri Venkateswara College, Delhi",2 Years,INR 26382,"UNIVERSITY #3, College #14, Science(INDIA TODAY) #10, Science(OUTLOOK) #9, Science(THE WEEK) #10","minimum 50% marks, 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,"https://www.svc.ac.in/, , https://cuet.nta.nic.in/",,
Masters,Mathematics,Mathematics,"Sri Venkateswara College, Delhi",2 YEARS,₹26382,"College  #14, Science(INDIA TODAY) #10, Science(OUTLOOK) #9, Science(THE WEEK) #10","minimum 50% marks, 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,"https://www.svc.ac.in/, , https://cuet.nta.nic.in/",,
Masters,Statistics,Statistics,"Sri Venkateswara College, Delhi",2 YEARS,₹26382,"College #15, Science(INDIA TODAY) #10, Science(OUTLOOK) #9, Science(THE WEEK) #10","minimum 50% marks, 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,"https://www.svc.ac.in/, , https://cuet.nta.nic.in/",,
Masters,Physics,Physics,"SGTB Khalsa College, New Delhi",2 Years, INR 37103,"NAAC with a grade ‘A’, Overall(top college) #39","at least 50%marks(for entrance qualifying exam), 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,"Select the exam center and exam date and click on confirm to complete the application process., apply separately on the College’s PG portal and from DU portal",,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,https://sgtbkhalsadu.ac.in/,,
Masters,Chemistry,Chemistry,SGTB Khalsa College Delhi,2 Years,₹37103,"NAAC with a grade ‘A’, College #39","at least 50%marks(for entrance qualifying exam), 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,https://sgtbkhalsadu.ac.in/,,
Masters,Mathematics,Mathematics,SGTB Khalsa College Delhi,2 YEARS,₹37103,"NAAC with a grade ‘A’, College  #39","at least 50%marks(for entrance qualifying exam), 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,https://sgtbkhalsadu.ac.in/,,
Masters,Statistics,Statistics,Savitribai Phule Pune University,2 YEARS,,"‘A’ grade by NAAC, Overall #25 , University #12",,"BSc inor BSc Mathematics with Statistics as a subsidiary subject, Statistics, Actuarial Statistics, Triple Major with Statistics as a subject, MSc in Mathematics",,,,,"Visit the official website of SPPU, Click on PG Admission, Register as a new user in CEEP Portal, Fill up and submit the application form",,,50.0,http://www.unipune.ac.in/university_files/admissions.htm,,
Masters,Mathematics,Mathematics,RKMVCC Kolkata,2 YEARS,₹68080,College  #13 ,minimum aggregate of 50%,,,,,,,,Entrance Based,,https://rkmvccrahara.org/viewalllist.aspx?id=26,,
Masters,Physics,Physics,Ramjas College Delhi,2 Years,INR 27153,"College #66, Science(INDIA TODAY) #18, Science(OUTLOOK) #21","minimum 50% marks, 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,"https://ramjas.du.ac.in/college/web/index.php, https://cuet.nta.nic.in/",,
Masters,Chemistry,Chemistry,Ramjas College Delhi,2 Years,INR27153,"College #66, Science(INDIA TODAY) #18, Science(OUTLOOK) #21","minimum 50% marks, 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,"https://ramjas.du.ac.in/college/web/index.php, https://cuet.nta.nic.in/",,
Masters,Mathematics,Mathematics,Ramjas College Delhi,2 YEARS,₹27013,"College #66, Science(INDIA TODAY) #18, Science(OUTLOOK) #21","minimum 50% marks, 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,"https://ramjas.du.ac.in/college/web/index.php, https://cuet.nta.nic.in/",,
Masters,Statistics,Statistics,Ramjas College Delhi,2 YEARS,₹27013,"College#66, Science(INDIA TODAY) #18, Science(OUTLOOK) #21","minimum 50% marks, 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",81.0,"https://ramjas.du.ac.in/college/web/index.php, https://cuet.nta.nic.in/",,
Masters,Life Science,Biotechnology,PSG College Of Arts And Science Coimbatore,2 YEARS,INR 126200,"Overall(nirf) #20, Science(india today) #50, Science(the week) #32",at least 55%,B.Sc. degree in life science,,,,,,,https://www.psgcas.ac.in/admissions_process.html,,https://www.psgcas.ac.in/admissions_process.html,,
Masters,Physics,Physics,PSG College Of Arts And Science Coimbatore,2 Years,INR 20000,"Overall #20, Science(INDIA TODAY) #50, Science(THE WEEK) #32",must have passed graduation,B.Sc. Physics with ancillary Chemistry and Mathematics,,,,,"Go to official university website , register, fill personal info , submit documents, pay application fee",Rs.200,"Merit Basis, OR, ENTRANCE",,https://www.psgcas.ac.in/admissions_process.html,,
Masters,Life Science,Applied Microbiology,PSG College Of Arts And Science Coimbatore,2 years,INR 20000,"Overall(nirf) #20, Science(india today) #50, Science(the week) #32",at least 55%,B.Sc in Microbiology/Botany/Zoology,,,,,"Go to official university website , register, fill personal info , submit documents, pay application fee",,"Merit Basis, OR, ENTRANCE",,https://www.psgcas.ac.in/admissions_process.html,,
Masters,Statistics,Statistics,PSG College Of Arts And Science Coimbatore,2 YEARS,₹20000,"Science(OUTLOOK) #20, Science(INDIA TODAY) #50, Overall(THE WEEK) #32",,B.Sc. in Mathematics ,,,,,,,"MERIT , OR , ENTRANCE",,https://www.psgcas.ac.in/admissions_process.html,,
Masters,Physics,Physics,"Presidency College, Chennai",2 Years,INR 1855,college #3 ,,bachelor’s degree in the relevant discipline,,,,,,,Merit-based,,https://www.presidencycollegechennai.ac.in/,,
Masters,Life Science,Applied Microbiology,"Presidency College, Chennai",1 Year,INR 1735,OVERALL(college) #3,,bachelor’s degree in the relevant discipline,,,"The first part has questions from Science and Maths (based on Class 12) and the second part of the JNU paper for MSc. carries questions from Physics, Botany, Geology, Zoology, Chemistry and Mathematics of B.Sc. level.",,,,merit,12.0,https://www.presidencycollegechennai.ac.in/UI/AdmissionPage.aspx,,
Masters,Chemistry,Chemistry,"Presidency College, Chennai",2 Years,INR1855,College #3 ,,bachelor’s degree in the relevant discipline,,,,,,,Merit-based,,https://www.presidencycollegechennai.ac.in/,,
Masters,Mathematics,Mathematics,Presidency College Chennai,2 YEARS,₹1735,College  #3 ,,bachelor’s degree in the relevant discipline,,,,,,,Merit-based,,https://www.presidencycollegechennai.ac.in/,,
Masters,Statistics,Statistics,Presidency College Chennai,2 YEARS,₹1855,College #3 ,,bachelor’s degree in the relevant discipline,,,,,,,Merit-based,18.0,https://www.presidencycollegechennai.ac.in/,,
Masters,Life Science,Microbiology Biotechnology,Panjab University,2 years,₹1.68 Lakh,"OVERALL #41, UNIVERSITY #25",,Candidate should have cleared passed B.Sc. from any relevant stream,,,,,,,,,https://puchd.ac.in/,,
Masters,Statistics,Statistics,Panjab University,2 YEARS,₹22000,University #25,,,,CET-PG,,,,,,39.0,https://puchd.ac.in/,,
Masters,IT-ITeS,Computer Science,NIT Warangal,2 Years,2.68 L,"OVERALL #45, ENGINEERING #45","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",25.0,"https://www.nitw.ac.in/, https://gate.iitk.ac.in/",,
Masters,Chemical and Petrochemicals,Chemical Engineering,NIT Warangal,2 Years,2.68 L,"OVERALL #45, ENGINEERING #45","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",25.0,"https://www.nitw.ac.in/, https://gate.iitk.ac.in/",,
Masters,Civil Engineering,Engineering Structures,NIT Warangal,2 Years,2.68 L,OVERALL #45,6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC,B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,GATE,General Aptitude (GA),,1) Initial selection through gate,,1)GATE,30.0,https://www.nitw.ac.in/,,
Masters,IT-ITeS,Computer Science and Engineering,NIT Trichy,2 Years,1.84 L,"OVERALL #21, ENGINEERING #8","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",35.0,"https://gate.iitk.ac.in/, https://ccmt.admissions.nic.in/, https://www.nitt.edu/home/admissions/mtech/",,
Masters,Chemical and Petrochemicals,Chemical Engineering,NIT Trichy,2 Years,1.84 L,"OVERALL #21, ENGINEERING #8","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",28.0,"https://gate.iitk.ac.in/, https://ccmt.admissions.nic.in/, https://www.nitt.edu/home/admissions/mtech/",,
Masters,IT-ITeS,Computer Science,NIT Surathkal,2 Years,1.79 L,"OVERALL #27, ENGINEERING #10","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",,"https://www.nitk.ac.in/, https://gate.iitk.ac.in/",,
Masters,Chemical and Petrochemicals,Chemical Engineering,NIT Surathkal,2 Years,1.84 L,"OVERALL #27, ENGINEERING #10","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",,"https://www.nitk.ac.in/, https://gate.iitk.ac.in/",,
Masters,Civil Engineering,Water Resources Engineering and Management,NIT Surathkal,2 Years,1.84 L,OVERALL #27,6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC,B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,GATE,General Aptitude (GA),,1) Initial selection through gate,,1)GATE,,https://www.nitk.ac.in/,,
Masters,IT-ITeS,Computer Science,NIT Silchar,,1.91L,"OVERALL #76, ENGINEERING #38","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",25.0,http://www.nits.ac.in/,,
Masters,IT-ITeS,Computer Science,NIT Rourkela,2 Years,₹ 1.78 L,"OVERALL #39, ENGINEERING #15","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",25.0,"https://www.nitrkl.ac.in/#, https://gate.iitk.ac.in/",,
